Tweet,Date,Sentiment_Vader,Sentiment_Blob
AAPLMy Three Horsemen Of The NASDAQ 100  Apple Microsoft And Gilead SciehttptcocDvoZfGSBX,2020-01-23,0.0,0.0
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-01-23,0.5267,0.0
Im hoping  wont automatically make us download Bruce Springsteen and U2 singing together  u2 bruce espn thatwasbad,2020-01-23,0.4215,0.0
  What a joke Justice Dept should prosecute Killer Wilson in pursuit of JUSTICE Ferguson IS NOT OVER,2020-01-23,0.4084,0.0
  please educate us,2020-01-24,0.3182,0.0
   Wish we could prosecute the admin for violation of privacy and criminal search and seizure,2020-01-24,-0.765,-0.4
The game traders play in the name of market liquidity HFT darkpools stock trading algorithms AAPL,2020-01-24,0.34,-0.4
AAPL10 Steve Jobs emails you need to readhttptco82G1kL94tx,2020-01-24,0.0,0.0
So so sooooo annoyed Did the restore from my back up and lost my voice mails I needed to keep those Thanks a lot ,2020-01-25,-0.088,-0.06666666666666667
ThisnYosemite update is stressing me out  macbookpro,2020-01-25,-0.3612,0.0
Just broke my 3rd charger of the month Get your shit together ,2020-01-25,-0.7506,-0.1
This iPhone 6 battery isnt as good as you claim ,2020-01-26,-0.3412,0.7
Nasdaq big fall      fell 36 on Monday See whether follow up ,2020-01-26,0.0,0.0
iPhone users face big change over  Apples Google search choice Monday 1 December,2020-01-26,0.0,0.0
   please educate us,2020-01-26,0.3182,0.0
Just updated my ram to 16gb  you guys are like shallow gfs Take all the money but dammit you look good,2020-01-27,0.6808,0.18333333333333332
  oh its not fair and i think youre really mean,2020-01-27,-0.2411,-0.33125
whoknew Why isnt  on Twitter interestingfact passingthetime,2020-01-27,0.0,0.0
 whoknew Why isnt  on Twitter interestingfact passingthetime,2020-01-28,0.0,0.0
IBM  iOS users account for 216 of ALL online sales 3x  users 66 They are dominating business sales cybermonday,2020-01-28,-0.296,0.0
I HATE HOW IOS 8 CAPITALIZES RANDOM WORDS LIKE I DONT WANNA GIVE EMPHASIS TO SOME STUPID WORD IN THA SENTENCE GET UR SELF TOGETHER ,2020-01-28,-0.6486,-0.7000000000000001
 ive made clear i support rand paul in 2016 in most cases why is everyone pigeonholed as red or blue also u like ,2020-01-28,0.7783,0.15
 why was the iphone 4 ever created,2020-01-29,0.25,0.0
 I FUCKING HATE YOU,2020-01-29,-0.6115,-0.8
 please can I have new phone for Christmas spreadsomejoy,2020-01-29,0.3182,0.13636363636363635
Perfome  pie,2020-01-30,0.0,0.0
Nasdaq100 recent market exit 4 Sold AAPL long for a 1049 gain in 20 days AAPL forex trading stocks,2020-01-30,0.5267,-0.025
 rumoured to be launching a Mega Tab because biggerisbetter,2020-01-30,0.0,0.0
Chayton Falke ChaytonFalke Nasdaq100 recent market exit 4 Sold AAPL long for a 1049 gain in 20 days AAPL forex trading,2020-01-30,0.5267,-0.025
Apple Inc PT Upped By Barclays Morgan Stanley Trims Stake AAPL,2020-01-31,0.0,0.0
ITS NOT LIKE THE APP COSTS MONEY JUST LET ME DOWNLOAD IT ,2020-01-31,-0.2755,0.0
 New HA Blog Post gtgtgt Final AAPL PutCallRatios for Monday December 1 2014,2020-01-31,0.4824,0.06818181818181818
AAPLJim Cramers 4 Best Stock Picks for the Health Care SectorhttptcoCaQgzX0KiJ,2020-02-01,0.8126,1.0
My phones been charging for an hour but it keeps losing percentage Get ur shit together ,2020-02-01,-0.8519,-0.2
Steve Jobs clave en juicio contra,2020-02-01,0.0,0.0
 Steve Jobs clave en juicio contra,2020-02-01,0.0,0.0
 Steve Jobs clave en juicio contra,2020-02-02,0.0,0.0
"Myths vs Reality in FullTime Trading stocks
futures forex trader es nq cl aapl gpro finance eSignal",2020-02-02,0.0,0.0
My laptop was completely dead and blacked out for 2 days amp I finally opened the inside and fixed it Hire me ,2020-02-02,-0.6801,-0.03333333333333333
  we couldnt even get a turkey for TDay so they just dont care appleemojissuck,2020-02-03,-0.3875,0.0
 Steve Jobs clave en juicio contra,2020-02-03,0.0,0.0
 My phones been charging for an hour but it keeps losing percentage Get ur shit together ,2020-02-03,-0.8519,-0.2
Apple NASDAQ AAPL Participates in World Aids Day Campaign Apple AAPL Campaign,2020-02-03,0.0,0.0
Well played,2020-02-04,0.5423,0.0
Thank you ,2020-02-04,0.3612,0.0
Fix it,2020-02-04,0.0,0.0
iamGambino Thank you ,2020-02-04,0.3612,0.0
How long does it really take for a phone to ship  smh,2020-02-05,-0.3182,0.07500000000000001
 iPod lawsuit will reveal unseen Steve Jobs video,2020-02-05,-0.2263,0.0
  iPod lawsuit will reveal unseen Steve Jobs video,2020-02-05,-0.2263,0.0
Lol dying,2020-02-06,0.4215,0.8
GoPro What Competition Part 2 GPRO  AAPL SNE,2020-02-06,0.0,0.0
So on my iphone5 the  health kit is no longer gathering data  Sigh,2020-02-06,-0.2732,0.0
Trade AAPL FREE Nightly Updates are posted here on Twitter or you can visit the Trade AAPL FREE website here,2020-02-06,0.8429,0.4
Thanks  for changing yet another fuck into duckThanks,2020-02-07,-0.1531,-0.1
 YH News Apple tumbles as much as 6 percent in unusual trading By Chuck Mikolajczak NEW YORK Reuters ,2020-02-07,0.0,0.1787878787878788
beauti cause fuck ,2020-02-07,-0.5423,-0.4
 Brass band at  Store Broadway WintersEve NYC,2020-02-08,0.0,0.0
if i buy a 16 gb phone i should have 16 GBS TO USE ,2020-02-08,0.0,0.0
fuck you for BREAKING MY MUSIC ,2020-02-08,-0.5423,-0.4
 Brass band at  Store Broadway WintersEve NYC,2020-02-08,0.0,0.0
Have Apple Incs iPad Sales Peaked AAPL,2020-02-09,0.0,0.0
 Brass band at  Store Broadway WintersEve NYC,2020-02-09,0.0,0.0
Barclays Apple Analyst Joins The Crowd And Increases Price Target  Forbes aapl,2020-02-09,0.0,0.0
just need  to come out with a charger cord that keep a charge amp dont fall apart,2020-02-10,0.0,0.0
 You should be able to forward a voicemail Why isnt that a thing ,2020-02-10,0.0,0.5
 and  I speak for all of humanity We want to chose what contacts are added to our contacts book from facebook thanks,2020-02-10,0.4939,0.2
 I h8 everything about u,2020-02-10,-0.5719,0.0
 ur a disgrace,2020-02-11,-0.4939,0.0
 I want my pictures back,2020-02-11,0.0772,0.0
My phone is on acid right now  fix this,2020-02-11,0.0,0.2857142857142857
 I had a power cord problem under warranty You said it would be fine It isnt And now you wont replace it,2020-02-12,-0.2263,0.4166666666666667
 This was NORMAL use NO ABUSE Wrapped it exactly as you instructed me to This is a fire hazard You should replace it defective,2020-02-12,-0.234,0.2
 BTW I LOVE all of your products  They rock  Your power cords are junk  You seriously need to fix this,2020-02-12,0.6408,0.08333333333333334
 Brass band at  Store Broadway WintersEve NYC,2020-02-12,0.0,0.0
 Justice Department cites 18th century federal law to get  to unlock iPhones,2020-02-13,0.5267,0.0
Yo  fix your shitty iMessage,2020-02-13,-0.5574,0.0
AAPL Apples Share Repurchases Have Benefited Shareholders by 80 Billion,2020-02-13,0.296,0.0
Even With Apple Watch Delayed Im Raising My AAPL Price Target To 165  AAPL AlexCho,2020-02-14,-0.2263,0.0
I love  Between  amp  I earned 200 miles during the BlackFriday sale freemoney centsability cybermonday,2020-02-14,0.6369,0.5
Yo  this auto correct shit gotta stop changing my shit right when i send it,2020-02-14,-0.8555,-0.038095238095238106
First  logo was designed by cofounder Ronald Wayne Drawing of Isaac Newton reading a book under an apple tree,2020-02-14,0.0,0.25
Those PICK UP THE SLACK YOU FUCK BOYS ,2020-02-15,-0.6408,-0.4
Why is it that the no firm has acquired the bloomberg terminal service yet  aapl I wish it had a goog search function,2020-02-15,0.128,0.1
 maybe good product but never better then  MacBook Air  Its a fact,2020-02-15,-0.2867,0.22499999999999998
fucking faggots ,2020-02-15,-0.6697,-0.6
 of course thats not their mother fucking ,2020-02-16,0.0,-0.6
Apple Inc Store Logos Turn Red For World AIDS Day AAPL,2020-02-16,0.0,0.0
the fuck kinda gay shit you print in the fucking ketosis ,2020-02-16,-0.7796,-0.19583333333333333
Game  you bitches really trying me tonight   gams night gawd,2020-02-17,-0.5994,-0.1
Apple CEO Tim Cook comes out as gay  Via Net,2020-02-17,0.0,0.20833333333333334
bong  U need to get ur fucking shit together and let me txt while on YouTube,2020-02-17,-0.5984,-0.2
  Why cant I buy any version let alone the version I actually like of Star Wars on  stupid lame StarWars,2020-02-17,-0.8519,-0.4333333333333333
 cook Perhaps a less malleable metal for the shell of the iPhone6SPlus noticedsomecurve,2020-02-18,0.0,-0.16666666666666666
MacBook Pro 13   Nonretina First Startup via   macbook macbookpro startup hipster,2020-02-18,0.0,0.25
MacBook Pro 13in Unboxing via   macbook macbookpro startup hipster unboxing,2020-02-18,0.0,0.0
iPad Mini Unboxing via   ipadmini ipad macbook macbookpro startup hipster unboxing,2020-02-19,0.0,0.0
iPad Mini First Time Startup via   ipadmini ipad macbook macbookpro startup hipster unbox,2020-02-19,0.0,0.25
 where the iPod 6 at doe,2020-02-19,0.0,0.0
"Can  drop Audio Only rendition requirement for iOS apps 
Users hate it 
No other stores want it
Other platforms dont know what it is",2020-02-19,-0.7717,-0.215625
None too happy with  Mac OS X Yosemite File Vault 2 or Boot Camp right now Thankful to own a ,2020-02-20,0.1783,0.561904761904762
iPhone6S to emerge spring 2015 with  Apple Watch Tuesday 2 December,2020-02-20,0.0,0.0
All my Apps on  ipodtouch5thgen,2020-02-20,0.0,0.0
I demand there be a tapatio emoji ,2020-02-21,-0.128,0.0
My apps  ipodtouch5thgen,2020-02-21,0.0,0.0
"AAPL
Call America for free until Christmas Tesco cuts costs for relaunch",2020-02-21,0.2732,0.4
so for the second time aapl pages ate my edits 700bn amateurs fail iwantjobsback,2020-02-21,-0.5423,-0.25
feel so lost with out my phone    iPhone 5 chargers are horrendous brokenchargerprobs,2020-02-22,-0.7501,0.0
AAPLApple heads to trial over digital music claimshttptcovOpYSuiVKi,2020-02-22,0.0,0.0
Excellent news HouseOfCards S3 on  272 I wonder if Yosemite amp my wifi will be talking by then  cook  Its been wks,2020-02-22,0.5719,1.0
 my laptop is burning my legs what do u have to say about this,2020-02-23,0.0,0.0
   cook Great news hope your wifi gets sorted though,2020-02-23,0.7906,0.8
The Secret of Life from Steve Jobs in 46 Seconds Some motivation from the late CEO of,2020-02-23,0.34,-0.35
10 best SteveJobs apple aapl tech30 via,2020-02-23,0.6369,1.0
 This makes me feel so sad  WHY DO U HAVE TO BE SO ROOD ,2020-02-24,-0.6113,-0.5
I hate these  earphones so bad Why in the world did they think it was a good idea to p,2020-02-24,-0.7424,-0.26666666666666666
  I need to reinstall on my Apple iPad 2,2020-02-24,0.0,0.0
 I salut you s photo,2020-02-25,0.0,0.0
MacBook Pro 13   Nonretina First Startup via   macbook macbookpro startup hipster,2020-02-25,0.0,0.25
MacBook Pro 13in Unboxing via   macbook macbookpro startup hipster unboxing,2020-02-25,0.0,0.0
iPad Mini Unboxing via   ipadmini ipad macbook macbookpro startup hipster unboxing,2020-02-25,0.0,0.0
iPad Mini First Time Startup via   ipadmini ipad macbook macbookpro startup hipster unbox,2020-02-26,0.0,0.25
Smartphonetablet to become home automation hub how can any wireless protocol beat WiFi and Bluetooth  Homekit  flic,2020-02-26,0.0,0.0
Options Outlook Amid Heavy Week Of Economic Events AAPL GOOG GOOGL TSLA WMT PreMarket Markets,2020-02-26,0.0,0.0
Why you dying so fast phone Fuck you ,2020-02-26,-0.5809,-0.1
  fix this,2020-02-27,0.0,0.0
Its been said dont talk about politics But I cant take it anymr Ill still post about   and others But we need change,2020-02-27,-0.5719,-0.5
"holy shit what have I missed what did Obama do this time 
stocks NASDAQ NYSE AAPL DOWJ",2020-02-27,-0.7003,-0.2
Does anybody knows how to use å£ on a Macbook Pro Retina US keyboard Thank you so much  macbook pro apple keyboard,2020-02-28,0.3612,0.2
The best guest behind Apples rapid stock price decline yesterday is algorithmic trading 40bn wiped off by automatic computer trades AAPL,2020-02-28,0.6369,0.3
 awarded patent 4 augmented reality devices w transparent displays ,2020-02-28,0.4019,0.0
 apple iphone  iphone4s iphone4problems  SOMEONE FUCKING HELP ME SOMEONE WHO WORKS AT APPLE FUCKING HELP ME DO UR JOB CUNTS,2020-02-28,0.6468,-0.6
WTF  synching notes or iCloud pages is unusable It used to be easier,2020-02-29,-0.4084,-0.5
Nasdaq100 recent market exit 4 Sold AAPL long for a 1049 gain in 20 days AAPL forex trading stocks,2020-02-29,0.5267,-0.025
hey  fuck you just let me change stores,2020-02-29,-0.5423,-0.4
about to write a huge fuck you to  for not letting me make reservations to get my laptop fixed,2020-03-01,-0.296,0.03333333333333332
Apple tumbles as much as 6 percent in unusual trading AAPL aapl,2020-03-01,0.0,0.2
 yes had that exact issue Took it to  for a free battery replacement Trackpad ended up being fine,2020-03-01,0.7783,0.35555555555555557
 Says Machines Caused s Big Drop AAPL,2020-03-01,-0.2732,0.0
  yeah the trackpad is fine and working now but I had to damage one of the screw holdings to get the battery out,2020-03-02,-0.5994,0.4166666666666667
Video Shows Size of 122Inch iPad Air Plus Mockup Next to iPhones iPads and MacBook AAPL,2020-03-02,0.0,0.0
 Steve Jobs clave en juicio contra,2020-03-02,0.0,0.0
 fail  Since updating my ipad OS there is a bug that does not delete videos and free up memory forcing,2020-03-03,-0.0516,-0.04999999999999999
Apple Opening New Retail Store in Toledo Ohio Saturday December 6 Mac Blog AAPL,2020-03-03,0.0,0.13636363636363635
Why Morgan Stanley Is Negative On Apple And The Tech Sector AAPL aapl,2020-03-03,-0.5719,-0.3
Google Is Now Beating Apple In This One Key Sector AAPL aapl,2020-03-03,-0.4588,0.0
"BBC News  Evidence by late Steve Jobs to be used in music trial
AAPL",2020-03-04,0.0,-0.3
my alarm was set the ringer was on and it just refused to work fuck u ,2020-03-04,-0.7964,-0.4
     n more in race to win payments Whats future of payments startups  ,2020-03-04,0.5859,0.43333333333333335
Im lost because its deer season but there is no deer emoji Come on  how am I suppose to show the love to all my huntin friendz,2020-03-05,0.5187,0.5
 utilizing iBeacons for engagement to send messages to  Passbook personalization via ,2020-03-05,0.4588,0.0
Technology News  trial to feature unseen late SteveJobs video deposition,2020-03-05,0.0,-0.3
 I figured out memory issue on my ipad It wasnt a bug but a new hidden folder that stores our  images,2020-03-05,0.0,-0.015151515151515152
We will be in room 1215 at 315 today presenting on our experience with  DEP and    herewegolakers,2020-03-06,0.0,0.0
AAPLPacific Crests Apple Analyst Reiterates Selling Some Shareshttptcozj974XddLN,2020-03-06,0.0,0.0
Pacific Crests Apple Analyst Reiterates Selling Some Shares AAPL aapl,2020-03-06,0.296,0.0
"AppleLawSuit Depends on exactly what  did to hold backbeat their competition There are fair game competitive tactics amp unfair 1s
YK",2020-03-07,-0.0258,0.012499999999999983
"AAPL
    Audio Auto sales due Apple lawsuit heads to courthttptcoKvb1L61oLN",2020-03-07,-0.2263,-0.125
Apples PT raised by Canaccord Genuity to 13500 buy rating AAPL AAPL,2020-03-07,0.0,0.0
Apples PT raised by Canaccord Genuity to 13500 buy rating AAPL AAPL,2020-03-07,0.0,0.0
IPhone6 has too many issues  why tf is the earphone plug in not working  u better fix this shit for free,2020-03-08,-0.4031,0.30000000000000004
Cheap Chromebooks teach Apple a lesson Price matters AAPL aapl,2020-03-08,0.0258,0.4
"  But trying to get launch info ahead of time from telco marketing teams was a nightmare  thanks 
EcomChat",2020-03-08,0.5927,0.2
Benzingas Top PreMarket Losers AAPL GOLD NEM News NVAX PreMarket Markets,2020-03-08,-0.3818,0.15
Dear  replace my phone my battery sucks,2020-03-09,0.0258,-0.3
Apple heads to trial over iTunes update AAPL,2020-03-09,0.0,0.0
From beyond the grave  Jurors set 2 hear fr star witness at  trial Steve Jobs,2020-03-09,-0.3818,0.0
 heads to trial over digital music claims APPL tech,2020-03-10,0.0,0.0
Fantastic service today  store Touchwood  thanks to all amp esp Zach for sorting my battery problem so quickly amp efficiently,2020-03-10,0.7759,0.3111111111111111
Heres why Apple dropped AAPL aapl,2020-03-10,0.0,0.0
APPLE Intraday Comments  PreOpening  PREMIUM USERS  aapl Stockaction trading Stocks MKt,2020-03-10,0.0,0.0
  its always like that with new products from apple,2020-03-11,0.3612,0.13636363636363635
 Dear  replace my phone my battery sucks,2020-03-11,0.0258,-0.3
  thats annoying they never get stuff right the first time,2020-03-11,-0.4019,-0.08809523809523812
 What is going on with aapl,2020-03-12,0.0,0.0
Apple Lower as Analyst Sees Risk of Sharp Production Cuts for iPhone 6 Plus in Q1 AAPL aapl,2020-03-12,-0.6705,-0.125
 Apple Lower as Analyst Sees Risk of Sharp Production Cuts for iPhone 6 Plus in Q1 AAPL aapl,2020-03-12,-0.6705,-0.125
 Dear  replace my phone my battery sucks,2020-03-12,0.0258,-0.3
TheStreet  Apple Gets Price Target Boost on Back of Strong iPhone Demand aapl,2020-03-13,0.6705,0.21666666666666667
AAPL MT  Can Apple clear name in ebooks drama Eddy Cue says hed do it again but take better notes,2020-03-13,0.6858,0.3
 with now dual core technology,2020-03-13,0.0,0.0
Pacific Crests Apple Analyst Reiterates Selling Some Shares  Forbes aapl,2020-03-14,0.296,0.0
Every student deserves a chance  connected txed,2020-03-14,0.25,0.0
Im surprised there isnt more talk about what looked like a flash crash in AAPL yesterday Biggest range in years and largely ignored,2020-03-14,-0.1531,0.2714285714285714
Im surprised there isnt more talk about what looked like a flash crash in AAPL yesterday Biggest range in years and largely ignored,2020-03-14,-0.1531,0.2714285714285714
A lack of equal access to technology places students and minorities at a disadvantage  Education is the great equalizer  txed,2020-03-15,0.0,0.4
 Looking for 105109 AAPL,2020-03-15,0.0,0.0
 Apples PT raised by Canaccord Genuity to 13500 buy rating AAPL AAPL,2020-03-15,0.0,0.0
APPLE  Fibonacci Technicals Levels  Intraday  PreOpening AAPL aapl,2020-03-16,0.0,0.0
Realmac Software Launches Typed a Markdown Writing App Featuring a Minimal Interface Mac Blog AAPL,2020-03-16,0.0,-0.1
  Product Line competes with itself iPhone6 vs iPad Who needs an iPad any longer,2020-03-16,0.0,0.0
AAPLFast Money Recap Energy Companies Ebb and Flow With Oil PriceshttptcoqRwLlGcLk6,2020-03-16,0.2732,0.0
Enjoying the introductions at the  connected launch event  Some amazing edtech leaders in the room  txed,2020-03-17,0.802,0.55
"Got A New Phone  
Iphone6Plus",2020-03-17,0.0,0.13636363636363635
3 More AppleWatch Details Exposed aapl,2020-03-17,-0.144,0.5
AAPL AAPL dailywedge,2020-03-18,0.0,0.0
US Government Attempts Hail Mary to Get Apple To Unlock iPhones aapl,2020-03-18,0.0772,0.0
APPLE  Fibonacci Technicals Levels  Intraday  Update  AAPL aapl,2020-03-18,0.0,0.0
CNBC will make you poor  CL just got slammed like AAPL yesterdayyesterday Pisini  Please put on your clown shoes when you report,2020-03-18,0.1779,-0.4
Heres Why Apple Wont Be A Trillion Dollar Company According To Billionaire VC Jim Breyer aapl,2020-03-19,0.0,0.0
Chromebooks Overtake Apples iPads in US Education Market   chromebooks ipad,2020-03-19,0.0,0.0
Apple Inc is doomed AAPL dropped by 154 Currently priced at 1133 AAPL,2020-03-19,-0.6369,0.0
Imagine a world without cracked iPhone screens  Patents Drop Protection Mechanism,2020-03-19,-0.2732,0.0
 HealthKit first movers featured at   Mobiquitys own  also panelist,2020-03-20,0.0,0.425
AAPLHow to Remove Apple Pay Credit Cards Remotely From,2020-03-20,0.296,-0.1
 wants you to stop taking vertical photos via ,2020-03-20,-0.296,0.2
10 best Steve Jobs emails apple stevejobs AAPL,2020-03-21,0.6369,1.0
Apple Is Reportedly Planning A 12Inch iPad That Will Be Like Microsofts Surface AAPL aapl,2020-03-21,0.3612,0.0
 Apple Patents An iPhone Drop Protection Mechanism That Changes Device  Tuesday 2 December,2020-03-21,-0.2732,0.0
Props for  iTC App Review Team for reviewing metadata rejected resubmission in just 2 hours Thanks,2020-03-21,-0.1027,0.2
Apple bears get paid as put contracts double amid drop News AAPL Applebears Appleoptions Apple iPhone News,2020-03-22,-0.2732,0.0
 yall some hoes,2020-03-22,0.0,0.0
Whats at the core of s new iOS7 Excellent updates for your phones mobilesecurity McAfee ,2020-03-22,0.5719,0.5681818181818181
Thanks  for Keep Newer when transferring files from a local hard drive to a server,2020-03-23,0.3612,-0.030555555555555558
Does  store in Georgetown sell refurbd iPads Or just new Are refurbs only available online,2020-03-23,0.0,0.1787878787878788
APPLE  Fibonacci Technicals Levels  Intraday  Update  AAPL aapl,2020-03-23,0.0,0.0
